0768452252;banana;0000070.00;0000000012
0109406607;maca;0000645.57;0000000005
2147452749;celular;0000071.28;0000000001
1237904636;mochila;0000025.00;0000000004
1137083563;garrafa;0000800.00;0000000400
0383830672;humano;0000039.44;0000000050
1911637811;baralho;0000778.91;0000000020
1503291921;caderno;0000729.91;0000000007
0524953357;animal silvestre;0000928.57;0000009000
1321958553;coca cola em litro 500ml;0000005.00;0000000046
0000004444;maneiro;0000007.00;0000000000
0001111111;Manakarou;0000088.00;0000000000
0000055555;Abacaxi com Hortela Bala de Menta;0000074.00;0000000004
0000044445;Seda;0000777.00;0000000000
0077777777;Kora;0000090.00;0000000000
0000008888;koka;0000005.00;0000000000
