20190905;0;383830672;4;0000039.44
20190905;0;1911637811;8;0000778.91
20190905;0;1321958553;4;0000461.37
20190905;22;1237904636;4;0000025.00
20190905;22;1237904636;4;0000025.00
20190905;22;8888;2;0000023.00
20190905;22;1111111;8;0000088.00
20190905;22;0;1;-000100.50
20190905;0;8888;2;0000023.00
20190905;22;55555;4;0000074.00
20190905;22;55555;5;0000074.00
20190905;22;55555;4;0000074.00
20190910;333;99999999;7;0000074.00
20190910;333;8888;40;0000005.00
20190910;22;99999999;2;0000074.00
20190910;0;99999999;4;0000074.00
20190910;0;99999999;3;0000074.00
